term_name,p_value,z_score,combined_score,overlapping_genes,p_adj,lib
Positive Regulation Of Cellular Process (GO:0048522),2.1854627901826107e-09,77.12720045428733,1538.0273035221712,"['MYC', 'CDK2', 'PTEN', 'AKT1', 'EGFR', 'MTOR', 'VEGFA']",1.6587662577486016e-06,GO_Biological_Process_2023
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),6.887405025925667e-09,82.25698324022346,1545.9024919430233,"['MYC', 'AKT1', 'BRCA1', 'TP53', 'MTOR', 'VEGFA']",2.288976118282259e-06,GO_Biological_Process_2023
Negative Regulation Of Programmed Cell Death (GO:0043069),9.047336435898257e-09,78.46,1453.1416101462546,"['MYC', 'AKT1', 'TP53', 'EGFR', 'MTOR', 'VEGFA']",2.288976118282259e-06,GO_Biological_Process_2023
Regulation Of Cell Population Proliferation (GO:0042127),1.276520862502346e-08,59.120333772507685,1074.6032560524638,"['MYC', 'CDK2', 'PTEN', 'AKT1', 'TP53', 'EGFR', 'VEGFA']",2.4221983365982015e-06,GO_Biological_Process_2023
Cellular Response To Hypoxia (GO:0071456),3.188659785492986e-08,195.31372549019608,3371.3258496465614,"['MYC', 'TP53', 'MTOR', 'VEGFA']",3.137448624187909e-06,GO_Biological_Process_2023
Cellular Response To Decreased Oxygen Levels (GO:0036294),3.372701172842441e-08,192.47342995169083,3311.498969444288,"['MYC', 'TP53', 'MTOR', 'VEGFA']",3.137448624187909e-06,GO_Biological_Process_2023
Positive Regulation Of Gene Expression (GO:0010628),3.5849621127594755e-08,61.75949367088607,1058.8006116164252,"['MYC', 'AKT1', 'BRCA1', 'TP53', 'MTOR', 'VEGFA']",3.137448624187909e-06,GO_Biological_Process_2023
Negative Regulation Of Apoptotic Process (GO:0043066),3.674721644185222e-08,61.4936974789916,1052.7231123311508,"['MYC', 'AKT1', 'TP53', 'EGFR', 'MTOR', 'VEGFA']",3.137448624187909e-06,GO_Biological_Process_2023
Positive Regulation Of Cell Population Proliferation (GO:0008284),3.720294811290011e-08,61.361635220125784,1049.7059970652615,"['MYC', 'CDK2', 'PTEN', 'AKT1', 'EGFR', 'VEGFA']",3.137448624187909e-06,GO_Biological_Process_2023
Regulation Of Cell Growth (GO:0001558),4.3361263242044715e-08,89.04504504504504,1509.6429219828683,"['AKT1', 'BRCA1', 'TP53', 'EGFR', 'MTOR']",3.2911198800711942e-06,GO_Biological_Process_2023
Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),9.004033139961291e-08,149.07116104868913,2418.382659181708,"['PTEN', 'AKT1', 'EGFR', 'VEGFA']",6.212782866573291e-06,GO_Biological_Process_2023
Cellular Response To Cadmium Ion (GO:0071276),1.379143686230442e-07,450.4736842105263,7115.967403292334,"['AKT1', 'MAPK1', 'EGFR']",8.723083815407545e-06,GO_Biological_Process_2023
Regulation Of Intracellular Signal Transduction (GO:1902531),1.6555037677790718e-07,67.45890410958904,1053.3026742160525,"['PTEN', 'AKT1', 'EGFR', 'MTOR', 'VEGFA']",9.665595074956274e-06,GO_Biological_Process_2023
Regulation Of Gene Expression (GO:0010468),1.829389938729318e-07,39.3125,609.8985714992277,"['MYC', 'CDK2', 'AKT1', 'BRCA1', 'TP53', 'MTOR', 'VEGFA']",9.917906882111089e-06,GO_Biological_Process_2023
Cellular Response To Oxidative Stress (GO:0034599),2.2731319239515538e-07,117.26843657817109,1793.847894422276,"['AKT1', 'MAPK1', 'TP53', 'EGFR']",1.1502047535194862e-05,GO_Biological_Process_2023
