source_db,term_id,term_name,p_adj,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:04151,PI3K-Akt signaling pathway,9.187947141537863e-13,True,PI3K-Akt signaling pathway,356,10,10,8484,1.0,0.028089887640449437,query_1,['KEGG:00000']
KEGG,KEGG:05230,Central carbon metabolism in cancer,1.3820769155457384e-11,True,Central carbon metabolism in cancer,70,10,7,8484,0.7,0.1,query_1,['KEGG:00000']
KEGG,KEGG:05224,Breast cancer,1.7999953596378627e-11,True,Breast cancer,147,10,8,8484,0.8,0.05442176870748299,query_1,['KEGG:00000']
KEGG,KEGG:05215,Prostate cancer,1.4686261761972382e-10,True,Prostate cancer,97,10,7,8484,0.7,0.07216494845360824,query_1,['KEGG:00000']
KEGG,KEGG:05213,Endometrial cancer,9.875567733663876e-10,True,Endometrial cancer,58,10,6,8484,0.6,0.10344827586206896,query_1,['KEGG:00000']
KEGG,KEGG:05226,Gastric cancer,3.0064358733533338e-09,True,Gastric cancer,148,10,7,8484,0.7,0.0472972972972973,query_1,['KEGG:00000']
KEGG,KEGG:04218,Cellular senescence,4.173032791683986e-09,True,Cellular senescence,155,10,7,8484,0.7,0.04516129032258064,query_1,['KEGG:00000']
GO:BP,GO:0051052,regulation of DNA metabolic process,4.856175551811432e-09,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",500,10,8,21026,0.8,0.016,query_1,"['GO:0006259', 'GO:0019219', 'GO:0060255']"
KEGG,KEGG:05214,Glioma,4.879105171377806e-09,True,Glioma,75,10,6,8484,0.6,0.08,query_1,['KEGG:00000']
KEGG,KEGG:05212,Pancreatic cancer,5.295157816052441e-09,True,Pancreatic cancer,76,10,6,8484,0.6,0.07894736842105263,query_1,['KEGG:00000']
KEGG,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,6.724299523511669e-09,True,EGFR tyrosine kinase inhibitor resistance,79,10,6,8484,0.6,0.0759493670886076,query_1,['KEGG:00000']
KEGG,KEGG:05225,Hepatocellular carcinoma,6.782529977699404e-09,True,Hepatocellular carcinoma,166,10,7,8484,0.7,0.04216867469879518,query_1,['KEGG:00000']
KEGG,KEGG:05200,Pathways in cancer,7.484197066051313e-09,True,Pathways in cancer,527,10,9,8484,0.9,0.017077798861480076,query_1,['KEGG:00000']
KEGG,KEGG:05206,MicroRNAs in cancer,7.5344261870449e-09,True,MicroRNAs in cancer,310,10,8,8484,0.8,0.025806451612903226,query_1,['KEGG:00000']
KEGG,KEGG:05210,Colorectal cancer,1.1341306582918165e-08,True,Colorectal cancer,86,10,6,8484,0.6,0.06976744186046512,query_1,['KEGG:00000']
GO:BP,GO:0051054,positive regulation of DNA metabolic process,1.2189926618310897e-08,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",291,10,7,21026,0.7,0.024054982817869417,query_1,"['GO:0006259', 'GO:0010604', 'GO:0045935', 'GO:0051052']"
KEGG,KEGG:05165,Human papillomavirus infection,1.2439435177027098e-08,True,Human papillomavirus infection,330,10,8,8484,0.8,0.024242424242424242,query_1,['KEGG:00000']
GO:BP,GO:0033554,cellular response to stress,2.835812844518476e-08,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1830,10,10,21026,1.0,0.00546448087431694,query_1,"['GO:0006950', 'GO:0051716']"
KEGG,KEGG:05205,Proteoglycans in cancer,3.007996096564947e-08,True,Proteoglycans in cancer,205,10,7,8484,0.7,0.03414634146341464,query_1,['KEGG:00000']
KEGG,KEGG:05219,Bladder cancer,3.1111344796489615e-08,True,Bladder cancer,41,10,5,8484,0.5,0.12195121951219512,query_1,['KEGG:00000']
KEGG,KEGG:05163,Human cytomegalovirus infection,5.4366047506782695e-08,True,Human cytomegalovirus infection,223,10,7,8484,0.7,0.03139013452914798,query_1,['KEGG:00000']
GO:BP,GO:0018193,peptidyl-amino acid modification,6.092214965319775e-08,True,"""The alteration of an amino acid residue in a peptide."" [GOC:mah]",686,10,8,21026,0.8,0.011661807580174927,query_1,['GO:0036211']
GO:BP,GO:0018105,peptidyl-serine phosphorylation,6.998523344841719e-08,True,"""The phosphorylation of peptidyl-serine to form peptidyl-O-phospho-L-serine."" [RESID:AA0037]",174,10,6,21026,0.6,0.034482758620689655,query_1,"['GO:0006468', 'GO:0018209']"
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,8.364554278672953e-08,True,Generic Transcription Pathway,1234,10,10,11004,1.0,0.008103727714748784,query_1,['REAC:R-HSA-73857']
GO:BP,GO:0018209,peptidyl-serine modification,1.0480901355706299e-07,True,"""The modification of peptidyl-serine."" [GOC:go_curators]",186,10,6,21026,0.6,0.03225806451612903,query_1,['GO:0018193']
GO:BP,GO:0000082,G1/S transition of mitotic cell cycle,1.726296243292935e-07,True,"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]",202,10,6,21026,0.6,0.0297029702970297,query_1,"['GO:0044772', 'GO:0044843']"
GO:BP,GO:0044772,mitotic cell cycle phase transition,1.8259037577042271e-07,True,"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]",428,10,7,21026,0.7,0.016355140186915886,query_1,"['GO:0044770', 'GO:1903047']"
REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,2.1384809541224098e-07,True,RNA Polymerase II Transcription,1355,10,10,11004,1.0,0.007380073800738007,query_1,['REAC:R-HSA-74160']
