term_id,term_name,preferred_names,category,fdr
WP1984,Integrated breast cancer pathway,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",WikiPathways,7.23e-19
PMID:23602933,(2013) MicroRNA and signal transduction pathways in tumor radiation response.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,5.27e-16
PMID:34142686,(2021) Multi-omics data integration reveals correlated regulatory features of triple negative breast cancer.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,6.59e-16
WP4172,PI3K-Akt signaling pathway,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",WikiPathways,8.87e-16
PMID:27144894,(2016) Epigenetics of breast cancer: Modifying role of environmental and bioactive food compounds.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.31e-15
hsa04151,PI3K-Akt signaling pathway,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",KEGG,1.31e-15
PMID:30985693,(2019) MicroRNA-related transcription factor regulatory networks in human colorectal cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:27765921,(2017) Triple-negative breast cancer: is there a treatment on the horizon?,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:33785035,(2021) Targeting AKT with costunolide suppresses the growth of colorectal cancer cells and induces apoptosis in vitro and in vivo.,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:23644885,(2013) Targeting signaling pathways in epithelial ovarian cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:28915711,(2017) Vitamin K and its analogs: Potential avenues for prostate cancer management.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,1.83e-15
PMID:28758107,(2017) Ganoderma spp.: A Promising Adjuvant Treatment for Breast Cancer.,"MAPK1,CDK2,TP53,EGFR,MTOR,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:25909217,(2015) Targeting Hsp90 in urothelial carcinoma.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:33767972,(2021) Overview of recent advances in metastatic triple negative breast cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:35163748,(2022) Human Papillomaviruses as Infectious Agents in Gynecological Cancers. Oncogenic Properties of Viral Proteins.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:34977872,(2021) Targeting DNA repair pathway in cancer: Mechanisms and clinical application.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.83e-15
PMID:23050958,(2012) Cancer prevention as biomodulation: targeting the initiating stimulus and secondary adaptations.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,1.83e-15
PMID:33008042,(2020) The Warburg Effect 97 Years after Its Discovery.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:21881167,(2011) Cooperative effects of Akt-1 and Raf-1 on the induction of cellular senescence in doxorubicin or tamoxifen treated breast cancer cells.,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:28117679,(2017) The Potential of Targeting Ribosome Biogenesis in High-Grade Serous Ovarian Cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:22979947,(2012) Nuclear Factor kappa B is central to Mareks disease herpesvirus induced neoplastic transformation of CD30 expressing lymphocytes in-vivo.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:27681874,(2016) Functional characterization of AMP-activated protein kinase signaling in tumorigenesis.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:30816492,(2019) Isoforms S and L of MRPL33 from alternative splicing have isoform-specific roles in the chemoresponse to epirubicin in gastric cancer cells via the PI3KAKT signaling pathway.,"MAPK1,CDK2,TP53,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,2.22e-15
PMID:22343668,"(2013) Signaling pathways as specific pharmacologic targets for neuroendocrine tumor therapy: RET, PI3K, MEK, growth factors, and Notch.","MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:34572805,(2021) Understanding the Radiobiology of Vestibular Schwannomas to Overcome Radiation Resistance.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:31086113,(2019) A Comparison of DNA Mutation and Copy Number Profiles of Primary Breast Cancers and Paired Brain Metastases for Identifying Clinically Relevant Genetic Alterations in Brain Metastases.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.22e-15
PMID:25653541,(2015) Triple-negative breast cancer: new perspectives for targeted therapies.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,2.22e-15
PMID:33671468,(2021) Molecular Biomarkers for Contemporary Therapies in Hormone Receptor-Positive Breast Cancer.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,2.47e-15
PMID:18671839,(2008) Molecular targeted therapies for breast cancer treatment.,"CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.47e-15
PMID:27655662,(2016) Anti-EGFR monoclonal antibodies and EGFR tyrosine kinase inhibitors as combination therapy for triple-negative breast cancer.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,MYC",PMID,2.78e-15
PMID:21863131,(2011) Management options in triple-negative breast cancer.,"MAPK1,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,2.78e-15
PMID:26316937,(2012) Molecular Markers with Predictive and Prognostic Relevance in Lung Cancer.,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,3.13e-15
PMID:34830902,(2021) Molecular Markers to Predict Prognosis and Treatment Response in Uterine Cervical Cancer.,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,3.65e-15
PMID:34885213,(2021) The Role of Long Non-Coding RNAs (lncRNAs) in Female Oriented Cancers.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,3.65e-15
PMID:30563141,(2018) An Overview on the Anticancer Activity of Azadirachta indica (Neem) in Gynecological Cancers.,"MAPK1,CDK2,TP53,EGFR,PTEN,AKT1,VEGFA,MYC",PMID,3.65e-15
PMID:29853970,(2018) Network Pharmacology-Based Approach to Investigate the Mechanisms of Hedyotis diffusa Willd. in the Treatment of Gastric Cancer.,"MAPK1,CDK2,TP53,EGFR,MTOR,BRCA1,AKT1,VEGFA",PMID,3.65e-15
PMID:33533004,(2021) MicroRNA: a novel implication for damage and protection against ionizing radiation.,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,3.86e-15
PMID:33240440,(2020) The hallmarks of ovarian cancer: proliferation and cell growth.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,4.48e-15
PMID:23233865,(2012) Hepatitis B- and hepatitis C-related hepatocellular carcinomas in the United States: similarities and differences.,"CDK2,TP53,EGFR,MTOR,AKT1,VEGFA,MYC",PMID,7.27e-15
PMID:35145999,"(2022) Triple-Negative Breast Cancer: A Brief Review About Epidemiology, Risk Factors, Signaling Pathways, Treatment and Role of Artificial Intelligence.","CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,7.27e-15
PMID:33808242,(2021) Role of Reductive versus Oxidative Stress in Tumor Progression and Anticancer Drug Resistance.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,7.27e-15
PMID:33915954,(2021) An Overview on Molecular Characterization of Thymic Tumors: Old and New Targets for Clinical Advances.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,7.52e-15
PMID:33922595,(2021) The PARP Enzyme Family and the Hallmarks of Cancer Part 1. Cell Intrinsic Hallmarks.,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,9.05e-15
PMID:30018740,(2018) Integrative landscape of dysregulated signaling pathways of clinically distinct pancreatic cancer subtypes.,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,AKT1,MYC",PMID,9.05e-15
PMID:31538426,(2019) Integrating a Next Generation Sequencing Panel into Clinical Practice in Ovarian Cancer.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,MYC",PMID,9.05e-15
PMID:21779462,(2010) MYC and Breast Cancer.,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,9.05e-15
PMID:32463358,(2020) Integrative analysis of large-scale loss-of-function screens identifies robust cancer-associated genetic interactions.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,MYC",PMID,9.05e-15
